timestep,ep_rew_mean,ep_rew_std,ep_len_mean,checkpoints_reached,lava_fraction,timeout_fraction,explained_variance,entropy_loss
262570,85.21037987499999,334.5967140755872,247.375,1.9765625,0.0,0.0,0.7089211344718933,-1.4477412402629852
264618,257.737984,495.8215673563961,235.5,2.0146484375,0.0,0.0,0.7579003870487213,-1.3353344667702913
266666,13.696741222222224,239.1890174767242,244.88888888888889,1.3662109375,0.0,0.0,0.6757840514183044,-1.4239887859672309
268714,18.809130099999997,213.64967237923693,218.1,1.33544921875,0.0,0.0,0.7812854796648026,-1.368439607322216
270762,114.9942665,328.01217366293554,320.1666666666667,2.1728515625,0.0,0.0,0.7504692077636719,-1.3948599703609943
272810,19.17819414285717,404.15779813626347,264.85714285714283,2.00439453125,0.0,0.0,nan,nan
274858,224.80319766666668,112.86185771471212,233.0,1.58203125,0.0,0.0,0.7125313580036163,-1.4362127348780631
276906,103.84219514285714,147.17150526769805,253.28571428571428,1.78125,0.0,0.0,0.6401822865009308,-1.3500118311494589
278954,39.742036,186.04589041059828,292.5,1.71533203125,0.0,0.0,0.826044887304306,-1.3476027268916368
281002,-43.68362599999999,231.62060598797243,238.33333333333334,1.29296875,0.0,0.0,0.8702108711004257,-1.3199445437639952
283050,8.133685000000005,340.5118826051473,268.57142857142856,2.01953125,0.0,0.0,0.7700822055339813,-1.3726074103266002
285098,-19.336345857142863,319.21947926067907,272.42857142857144,1.9111328125,0.0,0.0,0.7011004090309143,-1.3699736710637809
287146,0.08643812500000081,163.94261056383945,292.5,1.95263671875,0.0,0.0,0.7989554852247238,-1.32106011249125
290577,-40.95117614285714,207.90969100851783,259.42857142857144,1.35302734375,0.0,0.0,nan,nan
292625,-142.2858968,408.89193932102046,422.0,2.59033203125,0.0,0.0,0.6943708062171936,-1.2834706105291844
294673,-41.260666375,282.6475434184515,271.25,1.724609375,0.0,0.0,0.8239930123090744,-1.3855456374585629
296721,-110.89835842857144,436.2448618554906,276.14285714285717,1.619140625,0.0,0.0,0.7560058832168579,-1.4270578786730765
298769,133.449864375,177.62229164334954,259.25,1.798828125,0.0,0.0,0.7427489459514618,-1.3766370493918658
300817,104.8476535,216.9312425541781,215.1,1.390625,0.0,0.0,0.8085028529167175,-1.3380991715937853
302865,3.603833500000017,359.05524722811344,236.0,2.173828125,0.0,0.0,0.8456257879734039,-1.2563124645501376
304913,56.93485059999999,219.4821755963019,264.7,1.4150390625,0.0,0.0,0.7291125059127808,-1.3815678339451551
309190,129.8857097777778,128.73213846533747,225.66666666666666,1.1953125,0.0,0.0,nan,nan
311238,170.35706199999998,89.7794159275388,225.44444444444446,1.6982421875,0.0,0.0,0.7583693414926529,-1.3174255933612584
